encoded_article,decoded_article,fame_score
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,6.0
Boston%2C_Massachusetts,"Boston,_Massachusetts",8.0
Boston_RFC,Boston_RFC,2.0
Boston_Terrier,Boston_Terrier,3.0
Boston_and_Lowell_Railroad,Boston_and_Lowell_Railroad,4.0
Botany,Botany,6.0
Botswana,Botswana,7.0
Bottlenose_Dolphin,Bottlenose_Dolphin,6.0
Boudica,Boudica,5.0
Boundary_Waters_Canoe_Area_Wilderness,Boundary_Waters_Canoe_Area_Wilderness,3.0
Bourbonnais_train_accident,Bourbonnais_train_accident,2.0
Bouvet_Island,Bouvet_Island,2.0
Box_jellyfish,Box_jellyfish,6.0
Boy_Scout,Boy_Scout,7.0
Boyle_Roche,Boyle_Roche,2.0
Brabantian,Brabantian,1.0
Brabham,Brabham,5.0
Brachiosaurus,Brachiosaurus,6.0
Brahman,Brahman,4.0
Brain,Brain,7.0
Bran,Bran,3.0
Brandon_Routh,Brandon_Routh,6.0
Bras%C3%ADlia,Brasília,8.0
Brass_instrument,Brass_instrument,5.0
Bratislava,Bratislava,6.0
Brazil,Brazil,9.0
Bread,Bread,7.0
Breaker_Morant,Breaker_Morant,3.0
Bretton_Woods_system,Bretton_Woods_system,5.0
Brian_Close,Brian_Close,4.0
Bridge,Bridge,6.0
Brighton,Brighton,7.0
Brisbane,Brisbane,6.0
Bristol,Bristol,6.0
British_East_India_Company,British_East_India_Company,7.0
British_Empire,British_Empire,8.0
British_English,British_English,7.0
British_House_of_Commons,British_House_of_Commons,7.0
British_Indian_Ocean_Territory,British_Indian_Ocean_Territory,5.0
British_Isles,British_Isles,6.0
British_Isles_%28terminology%29,British_Isles_(terminology),4.0
British_Virgin_Islands,British_Virgin_Islands,8.0
British_monarchy,British_monarchy,9.0
Britney_Spears,Britney_Spears,9.0
Broadcasting,Broadcasting,6.0
Bromine,Bromine,5.0
Bronze_Age,Bronze_Age,7.0
Brothers_Grimm,Brothers_Grimm,7.0
Brown_trout,Brown_trout,4.0
Bruce_Lee,Bruce_Lee,9.0
Bruce_Springsteen,Bruce_Springsteen,8.0
Brunei,Brunei,6.0
Brush,Brush,3.0
Brussels,Brussels,7.0
Brute_force_attack,Brute_force_attack,4.0
Bryce_Canyon_National_Park,Bryce_Canyon_National_Park,6.0
Btrieve,Btrieve,2.0
Bucharest,Bucharest,6.0
Buckingham_Palace,Buckingham_Palace,8.0
Buckminster_Fuller,Buckminster_Fuller,6.0
Budapest,Budapest,6.0
Buddha,Buddha,10.0
Buddhism,Buddhism,9.0
Buddhist_art,Buddhist_art,7.0
Buenos_Aires,Buenos_Aires,8.0
Buffy_the_Vampire_Slayer,Buffy_the_Vampire_Slayer,8.0
Bulgaria,Bulgaria,7.0
Bull_shark,Bull_shark,6.0
Burkina_Faso,Burkina_Faso,5.0
Burundi,Burundi,5.0
Bushbuck,Bushbuck,4.0
Bushpig,Bushpig,4.0
Business,Business,7.0
Butter,Butter,6.0
Button,Button,5.0
Byzantine_Empire,Byzantine_Empire,8.0
C%2B%2B,C++,7.0
C%C3%A6dmon,Cædmon,4.0
C%C3%B4te_d%27Ivoire,Côte_d'Ivoire,6.0
C._S._Lewis,C._S._Lewis,7.0
CF7,CF7,3.0
CPU_cache,CPU_cache,5.0
CS_gas,CS_gas,3.0
Cactus,Cactus,4.0
Cadmium,Cadmium,5.0
Caesar_cipher,Caesar_cipher,6.0
Caesium,Caesium,5.0
Caesium_fluoride,Caesium_fluoride,4.0
Cai_Lun,Cai_Lun,5.0
Cairo,Cairo,6.0
Calcite,Calcite,5.0
Calcium,Calcium,9.0
Calcium_chloride,Calcium_chloride,6.0
Calculus,Calculus,8.0
Calgary,Calgary,7.0
California,California,8.0
California_Southern_Railroad,California_Southern_Railroad,4.0
Californium,Californium,5.0
Calligraphy,Calligraphy,6.0
Caloris_Basin,Caloris_Basin,5.0
Calvin_Coolidge,Calvin_Coolidge,6.0
Calvin_and_Hobbes,Calvin_and_Hobbes,9.0
Camarasaurus,Camarasaurus,6.0
Cambodia,Cambodia,8.0
Cambrian,Cambrian,7.0
Cambrian_explosion,Cambrian_explosion,7.0
Cambridge,Cambridge,8.0
Camel,Camel,7.0
Cameroon,Cameroon,9.0
Canada,Canada,6.0
Canada_Goose,Canada_Goose,8.0
Canadian_Charter_of_Rights_and_Freedoms,Canadian_Charter_of_Rights_and_Freedoms,8.0
Canadian_English,Canadian_English,7.0
Canadian_House_of_Commons,Canadian_House_of_Commons,7.0
Canadian_Pacific_Railway,Canadian_Pacific_Railway,8.0
Canadian_Senate,Canadian_Senate,7.0
Canadian_football,Canadian_football,6.0
Canal,Canal,5.0
Canaletto,Canaletto,6.0
Canberra,Canberra,6.0
Cancer,Cancer,9.0
Cane_Toad,Cane_Toad,5.0
Canola,Canola,5.0
Canterbury,Canterbury,6.0
Canterbury_Cathedral,Canterbury_Cathedral,6.0
Canute_the_Great,Canute_the_Great,5.0
Capacitance,Capacitance,3.0
Cape_Canaveral,Cape_Canaveral,6.0
Cape_Horn,Cape_Horn,5.0
Cape_Lion,Cape_Lion,3.0
Cape_Porcupine,Cape_Porcupine,3.0
Cape_Town,Cape_Town,9.0
Cape_Verde,Cape_Verde,7.0
Capital,Capital,5.0
Capitalism,Capitalism,8.0
Capitoline_Triad,Capitoline_Triad,4.0
Captain_Marvel_%28DC_Comics%29,Captain_Marvel_(DC_Comics),9.0
Caracas,Caracas,6.0
Caratacus,Caratacus,3.0
Caravaggio,Caravaggio,9.0
Carbon,Carbon,6.0
Carbon_dioxide,Carbon_dioxide,8.0
Carboniferous,Carboniferous,7.0
Carcinus_maenas,Carcinus_maenas,5.0
Card_game,Card_game,6.0
Cardiff,Cardiff,7.0
Caribbean_Sea,Caribbean_Sea,6.0
Carl_Friedrich_Gauss,Carl_Friedrich_Gauss,8.0
Carl_G._Fisher,Carl_G._Fisher,4.0
Carl_Jung,Carl_Jung,7.0
Carl_Lewis,Carl_Lewis,7.0
Carl_Sagan,Carl_Sagan,9.0
Carlsbad_Caverns_National_Park,Carlsbad_Caverns_National_Park,7.0
Carnivore,Carnivore,6.0
Caroline_Island,Caroline_Island,5.0
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,"Carolingian_Gospel_Book_(British_Library,_MS_Add._11848)",4.0
Carolus_Linnaeus,Carolus_Linnaeus,8.0
Carrot,Carrot,7.0
Casablanca_%28film%29,Casablanca_(film),9.0
Casimir_effect,Casimir_effect,6.0
Caspian_Sea,Caspian_Sea,8.0
Cassini-Huygens,Cassini-Huygens,8.0
Cassowary,Cassowary,6.0
Castra,Castra,4.0
Cat,Cat,10.0
Cat%27s_Eye_Nebula,Cat's_Eye_Nebula,7.0
Cat_Stevens,Cat_Stevens,6.0
Cataract,Cataract,5.0
Cataract_surgery,Cataract_surgery,5.0
Cathedral_of_Magdeburg,Cathedral_of_Magdeburg,6.0
Catherine_Cranston,Catherine_Cranston,5.0
Catherine_II_of_Russia,Catherine_II_of_Russia,8.0
Catholic_social_teaching,Catholic_social_teaching,6.0
Cattle,Cattle,5.0
Cave,Cave,3.0
Cayman_Islands,Cayman_Islands,7.0
Celeriac,Celeriac,4.0
Celery,Celery,4.0
Celine_Dion,Celine_Dion,9.0
Cell_%28biology%29,Cell_(biology),6.0
Cello,Cello,5.0
Celtic_F.C.,Celtic_F.C.,8.0
Celtic_Park,Celtic_Park,7.0
Celtic_mythology,Celtic_mythology,6.0
Central_African_Republic,Central_African_Republic,6.0
Central_processing_unit,Central_processing_unit,8.0
Ceratopsidae,Ceratopsidae,5.0
Cereal,Cereal,7.0
Cerebellum,Cerebellum,6.0
Ceres_%28dwarf_planet%29,Ceres_(dwarf_planet),7.0
Cerium,Cerium,5.0
Chad,Chad,7.0
Chadian-Sudanese_conflict,Chadian-Sudanese_conflict,4.0
Chaffinch,Chaffinch,5.0
Channel_Islands,Channel_Islands,6.0
Charlemagne,Charlemagne,8.0
Charles_Babbage,Charles_Babbage,7.0
Charles_Darwin,Charles_Darwin,8.0
Charles_Dickens,Charles_Dickens,8.0
Charles_Etienne_Brasseur_de_Bourbourg,Charles_Etienne_Brasseur_de_Bourbourg,3.0
Charles_II_of_England,Charles_II_of_England,6.0
Charles_I_of_England,Charles_I_of_England,8.0
Charles_Sumner,Charles_Sumner,6.0
Charles_V%2C_Holy_Roman_Emperor,"Charles_V,_Holy_Roman_Emperor",7.0
Charlie_Chaplin,Charlie_Chaplin,9.0
Charlotte%27s_Web,Charlotte's_Web,8.0
Chartism,Chartism,5.0
Che_Guevara,Che_Guevara,9.0
Cheers,Cheers,7.0
Cheese,Cheese,6.0
Cheetah,Cheetah,7.0
Chelsea_F.C.,Chelsea_F.C.,9.0
Chemical_element,Chemical_element,8.0
Chemical_synapse,Chemical_synapse,6.0
Chemistry,Chemistry,9.0
Chennai,Chennai,7.0
Chepstow_Bridge,Chepstow_Bridge,5.0
Chernobyl_disaster,Chernobyl_disaster,8.0
Chess,Chess,9.0
Chester_A._Arthur,Chester_A._Arthur,6.0
Chestnut,Chestnut,7.0
Chew_Magna,Chew_Magna,2.0
Chew_Stoke,Chew_Stoke,2.0
Chew_Valley,Chew_Valley,3.0
Chew_Valley_Lake,Chew_Valley_Lake,4.0
Chicago,Chicago,10.0
Chicago_Bears,Chicago_Bears,9.0
Chicago_and_North_Western_Railway,Chicago_and_North_Western_Railway,6.0
Chicken,Chicken,8.0
Child,Child,9.0
Children%27s_Crusade,Children's_Crusade,5.0
Children%27s_rights_movement,Children's_rights_movement,7.0
Chile,Chile,9.0
Chiltern_Hills,Chiltern_Hills,6.0
Chimpanzee,Chimpanzee,8.0
China,China,9.0
Chinese_Rites_controversy,Chinese_Rites_controversy,5.0
Chinese_language,Chinese_language,8.0
Chinyingi,Chinyingi,4.0
Chives,Chives,4.0
Chlorine,Chlorine,6.0
Chocolate,Chocolate,9.0
Chola_dynasty,Chola_dynasty,5.0
Cholera,Cholera,7.0
Chordate,Chordate,6.0
Chris_Evert,Chris_Evert,8.0
Christian_Bale,Christian_Bale,7.0
Christian_monasticism,Christian_monasticism,6.0
Christianity,Christianity,9.0
Christina_Aguilera,Christina_Aguilera,8.0
Christmas_Island,Christmas_Island,6.0
Christopher_Columbus,Christopher_Columbus,8.0
Christopher_Wren,Christopher_Wren,6.0
Chromatic_aberration,Chromatic_aberration,4.0
Chromatophore,Chromatophore,3.0
Chromium,Chromium,6.0
Church_of_England,Church_of_England,7.0
Church_of_Ireland,Church_of_Ireland,4.0
Cicely,Cicely,2.0
Cider,Cider,6.0
Cinema_of_the_United_States,Cinema_of_the_United_States,8.0
Citizen_Kane,Citizen_Kane,8.0
Citizenship,Citizenship,7.0
Citrus,Citrus,5.0
City,City,6.0
City_status_in_the_United_Kingdom,City_status_in_the_United_Kingdom,4.0
Civil_War_token,Civil_War_token,3.0
Civil_rights,Civil_rights,8.0
Civil_society,Civil_society,6.0
Civilization,Civilization,7.0
Civilization_%28computer_game%29,Civilization_(computer_game),5.0
Clarinet,Clarinet,7.0
Classic_female_blues,Classic_female_blues,5.0
Claude_L%C3%A9vi-Strauss,Claude_Lévi-Strauss,6.0
Claude_Monet,Claude_Monet,7.0
Claudius,Claudius,6.0
Clay,Clay,4.0
Cleopatra_VII,Cleopatra_VII,8.0
Cleopatra_VII_of_Egypt,Cleopatra_VII_of_Egypt,8.0
Cleveland%2C_Ohio,"Cleveland,_Ohio",6.0
Clifton_Suspension_Bridge,Clifton_Suspension_Bridge,6.0
Climate,Climate,8.0
Climate_change,Climate_change,7.0
Clock,Clock,6.0
Clone_Wars_%28Star_Wars%29,Clone_Wars_(Star_Wars),7.0
Clothing,Clothing,7.0
Cloud,Cloud,6.0
Coal,Coal,6.0
Coal_Tit,Coal_Tit,4.0
Cobalt,Cobalt,5.0
Coccinellidae,Coccinellidae,4.0
Cochineal,Cochineal,5.0
Cockatiel,Cockatiel,6.0
Cocoa,Cocoa,7.0
Coconut,Coconut,7.0
Coconut_crab,Coconut_crab,6.0
Coconut_oil,Coconut_oil,6.0
Cocos_%28Keeling%29_Islands,Cocos_(Keeling)_Islands,5.0
Cod,Cod,6.0
Code_of_Hammurabi,Code_of_Hammurabi,8.0
Coffee,Coffee,9.0
Coin,Coin,10.0
Cold_War,Cold_War,9.0
Colditz_Castle,Colditz_Castle,6.0
Colima_%28volcano%29,Colima_(volcano),5.0
Collapse_of_the_World_Trade_Center,Collapse_of_the_World_Trade_Center,8.0
Colley_Cibber,Colley_Cibber,4.0
Cologne,Cologne,8.0
Colombia,Colombia,8.0
Colombo,Colombo,4.0
Color,Color,6.0
Color_Graphics_Adapter,Color_Graphics_Adapter,7.0
Color_blindness,Color_blindness,6.0
Colorado_River,Colorado_River,8.0
Colossus_of_Rhodes,Colossus_of_Rhodes,7.0
Columba,Columba,5.0
Columbia_River,Columbia_River,7.0
Columbine_High_School_massacre,Columbine_High_School_massacre,8.0
Columbus%2C_Ohio,"Columbus,_Ohio",6.0
Comet,Comet,6.0
Comet_Hale-Bopp,Comet_Hale-Bopp,7.0
Comet_Halley,Comet_Halley,8.0
Comet_Hyakutake,Comet_Hyakutake,5.0
Comet_Shoemaker-Levy_9,Comet_Shoemaker-Levy_9,6.0
Comet_White-Ortiz-Bolelli,Comet_White-Ortiz-Bolelli,3.0
Comics,Comics,9.0
Comma_Johanneum,Comma_Johanneum,2.0
Commodore_64,Commodore_64,8.0
Common_Basilisk,Common_Basilisk,5.0
Common_Cuckoo,Common_Cuckoo,5.0
Common_Eider,Common_Eider,4.0
Common_Eland,Common_Eland,3.0
Common_Hazel,Common_Hazel,3.0
Common_Pheasant,Common_Pheasant,4.0
Common_Tern,Common_Tern,4.0
Common_agouti,Common_agouti,3.0
Common_cold,Common_cold,6.0
Common_sage,Common_sage,4.0
Commonwealth_Games,Commonwealth_Games,6.0
Communication,Communication,7.0
Communism,Communism,8.0
Community,Community,8.0
Comoros,Comoros,4.0
Compact_Disc,Compact_Disc,7.0
Company_%28law%29,Company_(law),6.0
Compsognathus,Compsognathus,5.0
Computational_chemistry,Computational_chemistry,5.0
Computer,Computer,9.0
Computer_and_video_games,Computer_and_video_games,8.0
Computer_programming,Computer_programming,8.0
Computer_science,Computer_science,9.0
Conakry,Conakry,6.0
Concorde,Concorde,7.0
Condoleezza_Rice,Condoleezza_Rice,8.0
Conflict,Conflict,5.0
Confucianism,Confucianism,6.0
Confucius,Confucius,7.0
Congo_River,Congo_River,6.0
Consolation_of_Philosophy,Consolation_of_Philosophy,5.0
Constantine_I,Constantine_I,7.0
Constantine_II_of_Scotland,Constantine_II_of_Scotland,5.0
Constitution_of_May_3%2C_1791,"Constitution_of_May_3,_1791",7.0
Constitutional_monarchy,Constitutional_monarchy,6.0
Constructivism_%28art%29,Constructivism_(art),5.0
Consumer_protection,Consumer_protection,6.0
Contact_lens,Contact_lens,7.0
Continent,Continent,8.0
Continental_crust,Continental_crust,6.0
Control_car_%28rail%29,Control_car_(rail),7.0
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,8.0
Convention_on_the_Rights_of_the_Child,Convention_on_the_Rights_of_the_Child,8.0
Cook_Islands,Cook_Islands,5.0
Cookiecutter_shark,Cookiecutter_shark,4.0
Cooperative,Cooperative,6.0
Coot,Coot,4.0
Copenhagen,Copenhagen,7.0
Copenhagen_Fire_of_1728,Copenhagen_Fire_of_1728,3.0
Copper,Copper,6.0
Copper%28I%29_chloride,Copper(I)_chloride,5.0
Coriander,Coriander,5.0
Corinthian_War,Corinthian_War,4.0
Cormorant,Cormorant,5.0
Corn_oil,Corn_oil,4.0
Cornea,Cornea,5.0
Cornell_University,Cornell_University,8.0
Coronation_Street,Coronation_Street,7.0
Corporate_finance,Corporate_finance,6.0
Corporation,Corporation,7.0
Corrosion,Corrosion,5.0
Corundum,Corundum,6.0
Cosmic_inflation,Cosmic_inflation,6.0
Cosmic_microwave_background_radiation,Cosmic_microwave_background_radiation,7.0
Costa_Rica,Costa_Rica,8.0
Costume_design,Costume_design,6.0
Cotopaxi,Cotopaxi,6.0
Cotswolds,Cotswolds,5.0
Cotton,Cotton,7.0
Coulomb%27s_law,Coulomb's_law,6.0
Country,Country,9.0
Coupling_%28railway%29,Coupling_(railway),4.0
Coventry,Coventry,5.0
Crab_Nebula,Crab_Nebula,5.0
Crash_test_dummy,Crash_test_dummy,4.0
Craters_of_the_Moon_National_Monument_and_Preserve,Craters_of_the_Moon_National_Monument_and_Preserve,6.0
Craton,Craton,3.0
Creation-evolution_controversy,Creation-evolution_controversy,6.0
Creationism,Creationism,6.0
Creative_Commons,Creative_Commons,5.0
Cretaceous,Cretaceous,7.0
Cretaceous-Tertiary_extinction_event,Cretaceous-Tertiary_extinction_event,7.0
Cricket,Cricket,8.0
Crime,Crime,8.0
Crime_and_Punishment,Crime_and_Punishment,8.0
Crime_in_Mexico,Crime_in_Mexico,6.0
Crimean_Karaites,Crimean_Karaites,4.0
Crimean_War,Crimean_War,7.0
Crimson-collared_Tanager,Crimson-collared_Tanager,3.0
Cristero_War,Cristero_War,4.0
Criticism_of_the_War_on_Terrorism,Criticism_of_the_War_on_Terrorism,5.0
Croatia,Croatia,6.0
Crocodile,Crocodile,7.0
Crohn%27s_disease,Crohn's_disease,8.0
Cross_Fell,Cross_Fell,4.0
Crossbill,Crossbill,3.0
Crow,Crow,6.0
Crown_Jewels_of_the_United_Kingdom,Crown_Jewels_of_the_United_Kingdom,7.0
Crusades,Crusades,8.0
Crust_%28geology%29,Crust_(geology),5.0
Crustacean,Crustacean,5.0
Cryptography,Cryptography,7.0
Crystal,Crystal,6.0
Crystallographic_defects_in_diamond,Crystallographic_defects_in_diamond,2.0
Cuba,Cuba,8.0
Cubeb,Cubeb,3.0
Cubism,Cubism,7.0
Cuckmere_Haven,Cuckmere_Haven,3.0
Cultivar,Cultivar,4.0
Cultural_diversity,Cultural_diversity,5.0
Cultural_identity,Cultural_identity,5.0
Culture,Culture,6.0
Culture_of_the_Democratic_Republic_of_the_Congo,Culture_of_the_Democratic_Republic_of_the_Congo,4.0
Curium,Curium,5.0
Currency,Currency,8.0
Cyanocobalamin,Cyanocobalamin,4.0
Cyberpunk,Cyberpunk,7.0
Cyclamen,Cyclamen,3.0
Cyclone_Percy,Cyclone_Percy,3.0
Cyclone_Rosita,Cyclone_Rosita,3.0
Cyclops,Cyclops,6.0
Cymbopogon,Cymbopogon,4.0
Cyprus,Cyprus,6.0
Cyril_Clarke,Cyril_Clarke,4.0
Cyrus_K._Holliday,Cyrus_K._Holliday,3.0
Cyrus_the_Great,Cyrus_the_Great,8.0
Cystic_fibrosis,Cystic_fibrosis,7.0
Czech_Republic,Czech_Republic,8.0
D%C3%A1l_Riata,Dál_Riata,3.0
D%C3%BCsseldorf,Düsseldorf,6.0
DNA,DNA,9.0
DNA_repair,DNA_repair,8.0
DVD,DVD,8.0
Dad%27s_Army,Dad's_Army,7.0
Dada,Dada,6.0
Dakar,Dakar,6.0
Dakota%2C_Minnesota_and_Eastern_Railroad,"Dakota,_Minnesota_and_Eastern_Railroad",3.0
Daley_Thompson,Daley_Thompson,5.0
Dallas%2C_Texas,"Dallas,_Texas",8.0
Dam,Dam,5.0
Damascus,Damascus,6.0
Damascus_steel,Damascus_steel,5.0
Damon_Hill,Damon_Hill,7.0
Dance,Dance,10.0
Dandelion,Dandelion,5.0
Daniel_Day-Lewis,Daniel_Day-Lewis,8.0
Daniel_Ellsberg,Daniel_Ellsberg,7.0
Danny_Deever,Danny_Deever,4.0
Danske_Statsbaner,Danske_Statsbaner,3.0
Dante_Alighieri,Dante_Alighieri,9.0
Danube,Danube,8.0
Darfur_conflict,Darfur_conflict,6.0
Dark_Ages,Dark_Ages,7.0
Darling_River,Darling_River,5.0
Darmstadtium,Darmstadtium,4.0
Darth_Vader,Darth_Vader,9.0
Dartmoor,Dartmoor,6.0
Das_Kapital,Das_Kapital,7.0
Data_Encryption_Standard,Data_Encryption_Standard,6.0
David_Attenborough,David_Attenborough,8.0
David_Beckham,David_Beckham,9.0
David_Blanchflower,David_Blanchflower,3.0
David_Cameron,David_Cameron,8.0
David_Copperfield_%28novel%29,David_Copperfield_(novel),7.0
David_Helvarg,David_Helvarg,3.0
David_Heymann,David_Heymann,2.0
David_Hilbert,David_Hilbert,6.0
David_Hume,David_Hume,8.0
David_III_of_Tao,David_III_of_Tao,1.0
David_Livingstone,David_Livingstone,7.0
Davis_Cup,Davis_Cup,6.0
Davy_Jones%27_Locker,Davy_Jones'_Locker,4.0
Day,Day,9.0
Dayuan,Dayuan,4.0
Dead_Sea,Dead_Sea,8.0
Dead_Sea_scrolls,Dead_Sea_scrolls,9.0
Death_Valley_National_Park,Death_Valley_National_Park,7.0
Decade_Volcanoes,Decade_Volcanoes,3.0
Deconstructivism,Deconstructivism,5.0
Defaka,Defaka,2.0
Defense_of_Sihang_Warehouse,Defense_of_Sihang_Warehouse,4.0
Definition_of_planet,Definition_of_planet,6.0
Deinonychus,Deinonychus,6.0
Deity,Deity,8.0
Delhi,Delhi,9.0
Deluge_%28mythology%29,Deluge_(mythology),5.0
Demand_Note,Demand_Note,3.0
Democracy,Democracy,8.0
Democratic_Action_Party,Democratic_Action_Party,5.0
Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo,6.0
Demosthenes,Demosthenes,7.0
Denis_Law,Denis_Law,6.0
Denmark,Denmark,8.0
Dennis_Ritchie,Dennis_Ritchie,7.0
Denver%2C_Colorado,"Denver,_Colorado",8.0
Derby,Derby,6.0
Desert,Desert,5.0
Desert_locust,Desert_locust,5.0
Desmond_Tutu,Desmond_Tutu,8.0
Despotism,Despotism,6.0
Detroit%2C_Michigan,"Detroit,_Michigan",6.0
Devonian,Devonian,7.0
Dewey_Square,Dewey_Square,4.0
Diabetes_mellitus,Diabetes_mellitus,8.0
Diamond,Diamond,9.0
Diamond_cut,Diamond_cut,6.0
Diamond_simulant,Diamond_simulant,5.0
Diane_Keaton,Diane_Keaton,7.0
Dice,Dice,6.0
Dido_and_Aeneas,Dido_and_Aeneas,6.0
Diego_Garcia,Diego_Garcia,4.0
Diego_Maradona,Diego_Maradona,9.0
Diego_Vel%C3%A1zquez,Diego_Velázquez,8.0
Differential_equation,Differential_equation,7.0
Differential_geometry_and_topology,Differential_geometry_and_topology,5.0
Diffuse_interstellar_band,Diffuse_interstellar_band,4.0
Dik-dik,Dik-dik,3.0
Dill,Dill,5.0
Dilophosaurus,Dilophosaurus,6.0
Dimetrodon,Dimetrodon,6.0
Dingo,Dingo,5.0
Dinosaur,Dinosaur,9.0
Diplodocus,Diplodocus,7.0
Directdebit,Directdebit,5.0
Directive_Principles_in_India,Directive_Principles_in_India,3.0
Disneyland_Railroad,Disneyland_Railroad,6.0
Distilled_beverage,Distilled_beverage,5.0
Dixie_Mission,Dixie_Mission,2.0
Djibouti,Djibouti,6.0
Dmitri_Mendeleev,Dmitri_Mendeleev,7.0
Doctor_Who,Doctor_Who,8.0
Dodo,Dodo,7.0
Dog,Dog,9.0
Doha,Doha,8.0
Dolphin,Dolphin,7.0
Domesday_Book,Domesday_Book,6.0
Domestic_AC_power_plugs_and_sockets,Domestic_AC_power_plugs_and_sockets,3.0
Domestic_goat,Domestic_goat,5.0
Domesticated_turkey,Domesticated_turkey,4.0
Dominica,Dominica,5.0
Dominican_Republic,Dominican_Republic,7.0
Donald_Bradman,Donald_Bradman,8.0
Donald_Duck,Donald_Duck,9.0
Donald_Knuth,Donald_Knuth,8.0
Donation,Donation,5.0
Doom,Doom,8.0
Dorset,Dorset,6.0
Double-decker_bus,Double-decker_bus,7.0
Double_bass,Double_bass,6.0
Douglas_Adams,Douglas_Adams,8.0
Douglas_DC-4,Douglas_DC-4,6.0
Dove,Dove,7.0
Dover,Dover,6.0
Down_syndrome,Down_syndrome,8.0
Dr._Seuss,Dr._Seuss,9.0
Drama,Drama,7.0
Draughts,Draughts,5.0
Drawing,Drawing,6.0
Dresden,Dresden,7.0
Drinking_water,Drinking_water,7.0
Driving_on_the_left_or_right,Driving_on_the_left_or_right,5.0
Drosera_anglica,Drosera_anglica,4.0
Drosophila_melanogaster,Drosophila_melanogaster,4.0
Drought,Drought,8.0
Drum_and_bass,Drum_and_bass,7.0
Du_Fu,Du_Fu,6.0
Dualism_%28philosophy_of_mind%29,Dualism_(philosophy_of_mind),5.0
Dubai,Dubai,9.0
Dublin,Dublin,8.0
Dubnium,Dubnium,6.0
Duchenne_muscular_dystrophy,Duchenne_muscular_dystrophy,7.0
Dundee,Dundee,6.0
Dundee_United_F.C.,Dundee_United_F.C.,6.0
Dune,Dune,9.0
Dunnock,Dunnock,4.0
Dunstable_Downs,Dunstable_Downs,3.0
Duran_Duran,Duran_Duran,8.0
Durham,Durham,6.0
Durham_Cathedral,Durham_Cathedral,7.0
Durian,Durian,5.0
Dutch_language,Dutch_language,6.0
Dwight_D._Eisenhower,Dwight_D._Eisenhower,9.0
Dysprosium,Dysprosium,5.0
E.T._the_Extra-Terrestrial_%28Atari_2600%29,E.T._the_Extra-Terrestrial_(Atari_2600),6.0
E._E._Cummings,E._E._Cummings,6.0
E._P._Wigner,E._P._Wigner,5.0
ECHELON,ECHELON,5.0
EMD_BL2,EMD_BL2,3.0
EMD_F7,EMD_F7,3.0
EMD_GP30,EMD_GP30,3.0
Eagle,Eagle,7.0
Eagle_Scout_%28Boy_Scouts_of_America%29,Eagle_Scout_(Boy_Scouts_of_America),6.0
Earl_of_Shaftesbury,Earl_of_Shaftesbury,4.0
Earless_seal,Earless_seal,5.0
Earth,Earth,10.0
Earth%27s_atmosphere,Earth's_atmosphere,8.0
Earthquake,Earthquake,7.0
Earwax,Earwax,4.0
East-West_Schism,East-West_Schism,6.0
EastEnders,EastEnders,7.0
East_Africa,East_Africa,6.0
East_Flemish,East_Flemish,5.0
East_Timor,East_Timor,6.0
Easter_Island,Easter_Island,7.0
Eastern_Orthodox_Church,Eastern_Orthodox_Church,8.0
Eastern_Roman_Empire,Eastern_Roman_Empire,7.0
Ebony,Ebony,4.0
Ecology,Ecology,6.0
Economic_inequality,Economic_inequality,6.0
Economics,Economics,7.0
Economy_of_Africa,Economy_of_Africa,6.0
Economy_of_India,Economy_of_India,6.0
Economy_of_Pakistan,Economy_of_Pakistan,5.0
Economy_of_Scotland,Economy_of_Scotland,5.0
Economy_of_the_Iroquois,Economy_of_the_Iroquois,4.0
Economy_of_the_Republic_of_Ireland,Economy_of_the_Republic_of_Ireland,5.0
Ecuador,Ecuador,6.0
Edema,Edema,4.0
Edgar_Allan_Poe,Edgar_Allan_Poe,5.0
Edible_salt,Edible_salt,6.0
Edinburgh,Edinburgh,6.0
Edmond_Halley,Edmond_Halley,5.0
Edmonton,Edmonton,8.0
Edmund_Burke,Edmund_Burke,7.0
Edmund_Hillary,Edmund_Hillary,6.0
Education,Education,9.0
Education_in_the_United_States,Education_in_the_United_States,8.0
Educational_psychology,Educational_psychology,6.0
Edward_Gibbon,Edward_Gibbon,7.0
Edward_III_of_England,Edward_III_of_England,6.0
Edward_II_of_England,Edward_II_of_England,5.0
Edward_IV_of_England,Edward_IV_of_England,5.0
Edward_I_of_England,Edward_I_of_England,6.0
Edward_Jenner,Edward_Jenner,8.0
Edward_Teller,Edward_Teller,7.0
Edward_VIII_of_the_United_Kingdom,Edward_VIII_of_the_United_Kingdom,8.0
Edward_VII_of_the_United_Kingdom,Edward_VII_of_the_United_Kingdom,8.0
Edward_VI_of_England,Edward_VI_of_England,7.0
Edward_V_of_England,Edward_V_of_England,6.0
Edward_the_Confessor,Edward_the_Confessor,6.0
Edwin_of_Northumbria,Edwin_of_Northumbria,5.0
